0.47904191616766467, 0.17065868263473055, 0.16167664670658682, 0.005988023952095809, 0.16467065868263472, 0.017964071856287425
0.6046511627906976, 0.2558139534883721, 0, 0, 0.023255813953488372, 0.11627906976744186
0.26666666666666666, 0.23333333333333334, 0.32666666666666666, 0, 0.02, 0.15333333333333332
0.2916666666666667, 0.17708333333333334, 0.25, 0, 0.010416666666666666, 0.2708333333333333
0.15412186379928317, 0.4014336917562724, 0.3727598566308244, 0, 0.014336917562724014, 0.05734767025089606
0.22972972972972974, 0.31756756756756754, 0.10810810810810811, 0.0472972972972973, 0.02702702702702703, 0.2702702702702703
0.2956521739130435, 0.4434782608695652, 0.05217391304347826, 0, 0.05217391304347826, 0.1565217391304348
0.4942084942084942, 0.28957528957528955, 0.015444015444015444, 0.003861003861003861, 0.10038610038610038, 0.09652509652509653
0.35, 0.34375, 0.075, 0.0125, 0.125, 0.09375
0.17479674796747968, 0.532520325203252, 0.04065040650406504, 0.008130081300813009, 0.04065040650406504, 0.2032520325203252
0.07894736842105263, 0.47368421052631576, 0.23684210526315788, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684
0.41711229946524064, 0.16042780748663102, 0.03208556149732621, 0.0053475935828877, 0.0481283422459893, 0.33689839572192515
0.2558139534883721, 0.5581395348837209, 0.011627906976744186, 0, 0.09302325581395349, 0.08139534883720931
0.06472491909385113, 0.3964401294498382, 0.4255663430420712, 0.040453074433656956, 0.05016181229773463, 0.022653721682847898
0.29411764705882354, 0.27450980392156865, 0.27450980392156865, 0, 0.058823529411764705, 0.09803921568627451
0.2054794520547945, 0.3972602739726027, 0.3150684931506849, 0.0136986301369863, 0.0410958904109589, 0.0273972602739726
0.7560975609756098, 0.04878048780487805, 0.008130081300813009, 0.032520325203252036, 0, 0.15447154471544716
0.7916666666666666, 0.20833333333333334, 0, 0, 0, 0
0.17117117117117117, 0.04054054054054054, 0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045, 0.7747747747747747
0.34065934065934067, 0.35714285714285715, 0.04395604395604396, 0.03296703296703297, 0.08241758241758242, 0.14285714285714285
0.8172043010752689, 0.11827956989247312, 0.021505376344086023, 0, 0.010752688172043012, 0.03225806451612903
0.17857142857142858, 0.14285714285714285, 0.07142857142857142, 0, 0.10714285714285714, 0.5
0.4642857142857143, 0.14285714285714285, 0.07142857142857142, 0, 0.07142857142857142, 0.25
0.23880597014925373, 0.5223880597014925, 0, 0.07462686567164178, 0.05970149253731343, 0.1044776119402985
0.7089467723669309, 0.11098527746319366, 0.08493771234428087, 0.009060022650056626, 0.011325028312570781, 0.07474518686296716
0.7613636363636364, 0.10227272727272728, 0.011363636363636364, 0, 0.03409090909090909, 0.09090909090909091
0.7704081632653061, 0.11734693877551021, 0.030612244897959183, 0.00510204081632653, 0.00510204081632653, 0.07142857142857142
0.9614147909967846, 0.01607717041800643, 0.003215434083601286, 0.003215434083601286, 0.003215434083601286, 0.012861736334405145
0.5263157894736842, 0.3026315789473684, 0.05263157894736842, 0.013157894736842105, 0.03289473684210526, 0.07236842105263158
0.56, 0.11428571428571428, 0.017142857142857144, 0.03428571428571429, 0, 0.2742857142857143
0.15, 0.2, 0.025, 0.0875, 0.1, 0.4375
0.5076923076923077, 0.26153846153846155, 0.13846153846153847, 0, 0, 0.09230769230769231
0.5106382978723404, 0.14893617021276595, 0, 0, 0, 0.3404255319148936
0.26666666666666666, 0.5333333333333333, 0, 0, 0.2, 0
0.8813559322033898, 0.06779661016949153, 0.01694915254237288, 0.03389830508474576, 0, 0
0.9823943661971831, 0.007042253521126761, 0.0035211267605633804, 0, 0, 0.007042253521126761
0.4307692307692308, 0.24615384615384617, 0.007692307692307693, 0.023076923076923078, 0.07692307692307693, 0.2153846153846154
0.4178082191780822, 0.136986301369863, 0.00684931506849315, 0.00684931506849315, 0.02054794520547945, 0.410958904109589
0.7591623036649214, 0.06806282722513089, 0.06282722513089005, 0.005235602094240838, 0.010471204188481676, 0.09424083769633508
0.6540880503144654, 0.006289308176100629, 0, 0.012578616352201259, 0.0031446540880503146, 0.3238993710691824
0.47368421052631576, 0.13157894736842105, 0, 0.02631578947368421, 0.2236842105263158, 0.14473684210526316
0.45454545454545453, 0.5454545454545454, 0, 0, 0, 0
